1	1-1	[0:1]	[0:1]	Table of contents	Table des matières	0.6852
726	2-2	[531:533]	[533:535]	Investing to Build High-Growth Companies and Emerging Fund Managers Investing in Canada's venture capital sector is essential to empowering entrepreneurs with the capital and networks they need to launch and scale resilient, high-impact companies. These venture funds drive innovation and are shaping the next generation of Canadian anchor firms and fund managers that will support economic growth and strengthen Canada's economic resilience.	Investir dans les entreprises à forte croissance et les nouveaux gestionnaires de fonds Il est essentiel d'investir dans le secteur du capital de risque au Canada afin que les entrepreneurs puissent disposer des capitaux et des réseaux dont ils ont besoin pour lancer des entreprises résilientes et à fortes retombées, et en élargir les activités. Les fonds de capital de risque soutiennent l'innovation et façonnent la prochaine génération d'entreprises phares et de gestionnaires de fonds au Canada qui renforceront la croissance et la résilience économiques au pays.	0.4984
727	1-1	[533:534]	[535:536]	To better align with emerging priorities, Budget 2025 proposes to realign previous venture capital and mid-cap commitments to support access to capital that meets current market needs.	Pour mieux tenir compte des nouvelles priorités, le budget de 2025 propose de réajuster les engagements antérieurs concernant le capital de risque et les entreprises à capitalisation moyenne, afin de faciliter l'accès aux capitaux d'une manière qui répond aux besoins actuels du marché.	0.6303
728	1-1	[534:535]	[536:537]	Budget 2025 proposes to provide $1 billion on a cash basis over three years, starting in 2026-27, for the Business Development Bank of Canada to launch the new Venture and Growth Capital Catalyst Initiative , a fund-of-funds that would leverage more private venture capital by incentivising pension funds and other institutional investor participation. The initiative will also support new and emerging fund managers and important sectors such as the life sciences sector.	Le budget de 2025 propose d'accorder 1 milliard de dollars, selon la comptabilité de caisse sur trois ans à compter de 2026–2027, à la Banque de développement du Canada pour qu'elle lance la nouvelle Initiative de catalyse du capital de risque et de croissance , un fonds de fonds qui mobilisera plus de capital de risque privé en encourageant la participation des fonds de pension et d'autres investisseurs institutionnels. Cette initiative soutiendra aussi de nouveaux gestionnaires de fonds et des secteurs clés comme les sciences de la vie.	0.6377
729	1-2*	[535:536]|subS[0:1/3]	[537:538]|subT[0:2/4]	Strategic investment is essential to bolster innovation and drive long-term growth. Budget 2025 announces the government's intention to develop a strategy to support Canadian firms facing early growth-stage funding gaps, and proposes to provide	Il est essentiel de réaliser des investissements stratégiques pour stimuler l'innovation et générer de la croissance à long terme. Le gouvernement annonce dans le budget de 2025 qu'il compte élaborer une stratégie pour aider les entreprises canadiennes aux prises avec un manque de financement aux premières étapes de croissance.	0.6413
730	2-2*	[535:536]|subS[1:3/3]	[537:538]|subT[2:4/4]	$ 750 million, on a cash basis, in support of those firms. Details on the strategy will be announced in 2026.	Il est donc proposé de fournir à ces entreprises un financement de 750 millions de dollars, selon la comptabilité de caisse. Des détails sur cette stratégie seront communiqués en 2026.	0.6637
731	1-1	[536:537]	[538:539]	2026-2028 Immigration Levels Plan	Plan des niveaux d'immigration 2026-2028	0.7631
732	1-1	[537:538]	[539:540]	Throughout Canada's history, we have welcomed people from around the world—those fleeing persecution, war and strife, those seeking to work hard and build a better life for their families, those seeking to study at our world-class universities, experts wanting to drive innovation in Canada. The fabric of our nation is woven with this tradition.	Tout au long de l'histoire du Canada, nous avons accueilli des gens des quatre coins du monde, notamment des personnes qui fuyaient la persécution, la guerre et les conflits, des gens qui voulaient travailler fort et offrir une meilleure vie à leurs familles ou qui souhaitaient faire des études dans nos universités de calibre mondial, ou bien des spécialistes qui visaient à stimuler l'innovation au Canada. Cette tradition fait partie intégrante de notre pays.	0.6499
733	1-1	[538:539]	[540:541]	As we have welcomed the world, we had the promise that if someone came to Canada they would contribute to our prosperity, and in return they would get all Canada offered—a country that is generous, fair, and diverse.	En ouvrant les bras à toutes ces personnes, notre promesse était que les personnes qui viendraient s'établir au Canada contribueraient à notre prospérité, en échange de tout ce que le pays avait à offrir, en tant que nation généreuse, équitable et diversifiée.	0.7512
734	1-1*	[539:540]|subS[0:1/3]	[541:542]|subT[0:1/3]	Our immigration system was built to standardise and evaluate newcomers so that admission was based on a person's merits.	Notre système d'immigration était conçu pour normaliser et évaluer les nouveaux arrivants afin que leur admission soit fondée sur leurs mérites.	0.5772
735	1-1*	[539:540]|subS[1:2/3]	[541:542]|subT[1:2/3]	Over time, this system has evolved—its complexity has grown and its efficiency has waned.	Avec le temps, ce système a évolué : sa complexité s'est accrue tandis que son efficacité s'est affaiblie.	0.5876
736	1-1*	[539:540]|subS[2:3/3]	[541:542]|subT[2:3/3]	In recent years, the system became even harder to manage and less functional, and the pace of arrivals began to exceed Canada's capacity to absorb and support newcomers in the way we are used to doing.	Au cours des dernières années, le système est devenu encore plus difficile à gérer et moins fonctionnel, et le rythme des arrivées a commencé à dépasser la capacité habituelle du Canada à absorber et à soutenir les nouveaux arrivants.	0.5965
737	1-1*	[540:541]|subS[0:1/3]	[542:543]|subT[0:1/3]	In 2018,3.3 per cent of Canada's population were temporary residents.	En 2018, les résidents temporaires représentaient 3,3 % de la population canadienne.	0.6080
738	1-1*	[540:541]|subS[1:2/3]	[542:543]|subT[1:2/3]	By 2024, that number had more than doubled to 7.5 per cent, an unprecedented rate of growth that put pressure on housing supply, the healthcare system, and schools.	En 2024, ce chiffre avait plus que doublé, atteignant 7,5 %, soit un taux de croissance sans précédent qui a exercé des pressions sur l'offre de logements, le système de santé et les écoles.	0.6977
739	1-1*	[540:541]|subS[2:3/3]	[542:543]|subT[2:3/3]	Canada's new government recognises that this system is no longer sustainable, and we are determined to make it so, for everyone who lives in and comes to this country.	Le nouveau gouvernement du Canada reconnaît que ce système n'est plus viable, mais nous sommes déterminés à faire en sorte qu'il le soit, et ce, pour toutes les personnes qui vivent au pays ou qui viennent s'y établir.	0.5475
740	1-1	[541:542]	[543:544]	We are taking back control over the immigration system and putting Canada on a trajectory to bring immigration back to sustainable levels—allowing us to fulfill the promise of Canada to those who call it home. At the same time, Canada will continue its long tradition of welcoming those fleeing violence, persecution and displacement.	Nous reprenons le contrôle du système d'immigration et nous plaçons le pays sur une trajectoire qui ramènera l'immigration à des niveaux acceptables, ce qui nous permettra de remplir la promesse faite par le Canada aux personnes qui s'y sont établies. Parallèlement, le Canada poursuivra sa longue tradition d'accueil des personnes qui fuient la violence et la persécution ou qui sont soumises à des déplacements.	0.6615
741	1-1*	[542:543]|subS[0:1/4]	[544:545]|subT[0:1/4]	The results of the government's focus are already becoming apparent.	Nous constatons déjà les résultats de l'engagement du gouvernement à cet égard.	0.5161
742	1-1*	[542:543]|subS[1:2/4]	[544:545]|subT[1:2/4]	Asylum claims are down by a third, and new temporary foreign worker arrivals are down by approximately 50 per cent this year.	Les demandes d'asile ont baissé d'un tiers et le nombre de nouveaux travailleurs étrangers temporaires a baissé d'environ 50 % cette année.	0.6477
743	1-1*	[542:543]|subS[2:3/4]	[544:545]|subT[2:3/4]	New international student arrivals have also declined by approximately 60 per cent compared to 2024.	Les arrivées de nouveaux étudiants internationaux ont également diminué d'environ 60 % par rapport à 2024.	0.7139
